iso,vaccine,date,total_vaccinations
ARG,Sinopharm/Beijing,5/6/2021,2328090
ARG,Sputnik V,5/6/2021,5214450
ARG,CanSino,5/7/2021,8
ARG,Oxford/AstraZeneca,5/7/2021,1728393
ARG,Sinopharm/Beijing,5/7/2021,2424221
ARG,Sputnik V,5/7/2021,5309784
ARG,Oxford/AstraZeneca,5/8/2021,1732452
ARG,Sinopharm/Beijing,5/8/2021,2465842
ARG,Sputnik V,5/8/2021,5338395
ARG,Oxford/AstraZeneca,5/9/2021,1734192
ARG,Sinopharm/Beijing,5/9/2021,2469341
ARG,Sputnik V,5/9/2021,5351854
ARG,Oxford/AstraZeneca,5/10/2021,1744120
ARG,Sinopharm/Beijing,5/10/2021,2533523
ARG,Sputnik V,5/10/2021,5419473
ARG,Moderna,5/11/2021,12
ARG,Oxford/AstraZeneca,5/11/2021,1752398
ARG,Pfizer/BioNTech,5/11/2021,36
ARG,Sinopharm/Beijing,5/11/2021,2598380
ARG,Sputnik V,5/11/2021,5486845
ARG,Moderna,5/12/2021,13
ARG,Oxford/AstraZeneca,5/12/2021,1758183
ARG,Sinopharm/Beijing,5/12/2021,2737765
ARG,Sputnik V,5/12/2021,5539353
ARG,Oxford/AstraZeneca,5/13/2021,1763887
ARG,Sinopharm/Beijing,5/13/2021,2886497
ARG,Sputnik V,5/13/2021,5577115
ARG,Oxford/AstraZeneca,5/14/2021,1773099
ARG,Sinopharm/Beijing,5/14/2021,3034871
ARG,Sputnik V,5/14/2021,5616110
ARG,Oxford/AstraZeneca,5/15/2021,1776185
ARG,Sinopharm/Beijing,5/15/2021,3085324
ARG,Sputnik V,5/15/2021,5657690
ARG,Oxford/AstraZeneca,5/16/2021,1777660
ARG,Sinopharm/Beijing,5/16/2021,3128634
ARG,Sputnik V,5/16/2021,5680513
ARG,Oxford/AstraZeneca,5/17/2021,1784971
ARG,Pfizer/BioNTech,5/17/2021,37
ARG,Sinopharm/Beijing,5/17/2021,3224389
ARG,Sputnik V,5/17/2021,5764443
ARG,Oxford/AstraZeneca,5/18/2021,1794770
ARG,Sinopharm/Beijing,5/18/2021,3269343
ARG,Sputnik V,5/18/2021,5907997
ARG,Oxford/AstraZeneca,5/19/2021,1802128
ARG,Pfizer/BioNTech,5/19/2021,38
ARG,Sinopharm/Beijing,5/19/2021,3302702
ARG,Sputnik V,5/19/2021,6035069
ARG,Oxford/AstraZeneca,5/20/2021,1812640
ARG,Sinopharm/Beijing,5/20/2021,3337990
ARG,Sputnik V,5/20/2021,6171931
ARG,Oxford/AstraZeneca,5/21/2021,1821851
ARG,Sinopharm/Beijing,5/21/2021,3416219
ARG,Sputnik V,5/21/2021,6261816
ARG,Oxford/AstraZeneca,5/22/2021,1823377
ARG,Sinopharm/Beijing,5/22/2021,3460218
ARG,Sputnik V,5/22/2021,6316759
ARG,Oxford/AstraZeneca,5/23/2021,1823795
ARG,Sinopharm/Beijing,5/23/2021,3483098
ARG,Sputnik V,5/23/2021,6338739
ARG,Oxford/AstraZeneca,5/24/2021,1824978
ARG,Pfizer/BioNTech,5/24/2021,39
ARG,Sinopharm/Beijing,5/24/2021,3502592
ARG,Sputnik V,5/24/2021,6406457
ARG,Oxford/AstraZeneca,5/25/2021,1847061
ARG,Sinopharm/Beijing,5/25/2021,3505774
ARG,Sputnik V,5/25/2021,6444630
ARG,Oxford/AstraZeneca,5/26/2021,1873943
ARG,Sinopharm/Beijing,5/26/2021,3539364
ARG,Sputnik V,5/26/2021,6537323
ARG,Oxford/AstraZeneca,5/27/2021,1919422
ARG,Sinopharm/Beijing,5/27/2021,3572626
ARG,Sputnik V,5/27/2021,6628062
ARG,Oxford/AstraZeneca,5/28/2021,2011814
ARG,Sinopharm/Beijing,5/28/2021,3601541
ARG,Sputnik V,5/28/2021,6752931
ARG,Oxford/AstraZeneca,5/29/2021,2121760
ARG,Pfizer/BioNTech,5/29/2021,40
ARG,Sinopharm/Beijing,5/29/2021,3611449
ARG,Sputnik V,5/29/2021,6860617
ARG,Oxford/AstraZeneca,5/30/2021,2180916
ARG,Sinopharm/Beijing,5/30/2021,3613072
ARG,Sputnik V,5/30/2021,6928736
ARG,Oxford/AstraZeneca,5/31/2021,2308151
ARG,Sinopharm/Beijing,5/31/2021,3629981
ARG,Sputnik V,5/31/2021,7083711
ARG,Oxford/AstraZeneca,6/1/2021,2457252
ARG,Sinopharm/Beijing,6/1/2021,3643543
ARG,Sputnik V,6/1/2021,7236044
ARG,CanSino,6/2/2021,9
ARG,Oxford/AstraZeneca,6/2/2021,2620839
ARG,Sinopharm/Beijing,6/2/2021,3656693
ARG,Sputnik V,6/2/2021,7368761
ARG,Oxford/AstraZeneca,6/3/2021,2843794
ARG,Sinopharm/Beijing,6/3/2021,3668918
ARG,Sputnik V,6/3/2021,7483330
ARG,Oxford/AstraZeneca,6/4/2021,3148941
ARG,Sinopharm/Beijing,6/4/2021,3684783
ARG,Sputnik V,6/4/2021,7570621
ARG,Oxford/AstraZeneca,6/5/2021,3426731
ARG,Sinopharm/Beijing,6/5/2021,3689466
ARG,Sputnik V,6/5/2021,7615035
ARG,Oxford/AstraZeneca,6/6/2021,3614662
ARG,Sinopharm/Beijing,6/6/2021,3691502
ARG,Sputnik V,6/6/2021,7642481
ARG,Oxford/AstraZeneca,6/7/2021,3894194
ARG,Sinopharm/Beijing,6/7/2021,3700872
ARG,Sputnik V,6/7/2021,7706879
ARG,Oxford/AstraZeneca,6/8/2021,4171700
ARG,Sinopharm/Beijing,6/8/2021,3708993
ARG,Sputnik V,6/8/2021,7791263
ARG,CanSino,6/9/2021,11
ARG,Moderna,6/9/2021,14
ARG,Oxford/AstraZeneca,6/9/2021,4430789
ARG,Pfizer/BioNTech,6/9/2021,41
ARG,Sinopharm/Beijing,6/9/2021,3715793
ARG,Sputnik V,6/9/2021,7897810
ARG,Moderna,6/10/2021,15
ARG,Oxford/AstraZeneca,6/10/2021,4654739
ARG,Pfizer/BioNTech,6/10/2021,42
ARG,Sinopharm/Beijing,6/10/2021,3721851
ARG,Sputnik V,6/10/2021,8002955
ARG,Oxford/AstraZeneca,6/11/2021,4838965
ARG,Sinopharm/Beijing,6/11/2021,3732592
ARG,Sputnik V,6/11/2021,8174868
ARG,Oxford/AstraZeneca,6/12/2021,4904995
ARG,Sinopharm/Beijing,6/12/2021,3744677
ARG,Sputnik V,6/12/2021,8281921
ARG,Oxford/AstraZeneca,6/13/2021,4949658
ARG,Sinopharm/Beijing,6/13/2021,3746503
ARG,Sputnik V,6/13/2021,8318133
ARG,Oxford/AstraZeneca,6/14/2021,5076603
ARG,Sinopharm/Beijing,6/14/2021,3757142
ARG,Sputnik V,6/14/2021,8418669
ARG,Oxford/AstraZeneca,6/15/2021,5205975
ARG,Pfizer/BioNTech,6/15/2021,43
ARG,Sinopharm/Beijing,6/15/2021,3762928
ARG,Sputnik V,6/15/2021,8541434
ARG,Oxford/AstraZeneca,6/16/2021,5391755
ARG,Sinopharm/Beijing,6/16/2021,3767744
ARG,Sputnik V,6/16/2021,8638053
ARG,Moderna,6/17/2021,16
ARG,Oxford/AstraZeneca,6/17/2021,5620928
ARG,Sinopharm/Beijing,6/17/2021,3774074
ARG,Sputnik V,6/17/2021,8717021
ARG,Moderna,6/18/2021,17
ARG,Oxford/AstraZeneca,6/18/2021,5945744
ARG,Pfizer/BioNTech,6/18/2021,46
ARG,Sinopharm/Beijing,6/18/2021,3779977
ARG,Sputnik V,6/18/2021,8785712
ARG,Oxford/AstraZeneca,6/19/2021,6132304
ARG,Sinopharm/Beijing,6/19/2021,3782549
ARG,Sputnik V,6/19/2021,8829221
ARG,Oxford/AstraZeneca,6/20/2021,6210263
ARG,Sinopharm/Beijing,6/20/2021,3782847
ARG,Sputnik V,6/20/2021,8850189
ARG,Oxford/AstraZeneca,6/21/2021,6348600
ARG,Pfizer/BioNTech,6/21/2021,47
ARG,Sinopharm/Beijing,6/21/2021,3784148
ARG,Sputnik V,6/21/2021,8880300
ARG,Oxford/AstraZeneca,6/22/2021,6576189
ARG,Pfizer/BioNTech,6/22/2021,48
ARG,Sinopharm/Beijing,6/22/2021,3790099
ARG,Sputnik V,6/22/2021,8934761
ARG,Oxford/AstraZeneca,6/23/2021,6770059
ARG,Sinopharm/Beijing,6/23/2021,3814451
ARG,Sputnik V,6/23/2021,8979766
ARG,Oxford/AstraZeneca,6/24/2021,6945232
ARG,Sinopharm/Beijing,6/24/2021,3887625
ARG,Sputnik V,6/24/2021,9036017
ARG,CanSino,6/25/2021,12
ARG,Moderna,6/25/2021,18
ARG,Oxford/AstraZeneca,6/25/2021,7164893
ARG,Pfizer/BioNTech,6/25/2021,50
ARG,Sinopharm/Beijing,6/25/2021,3997512
ARG,Sputnik V,6/25/2021,9083361
ARG,Oxford/AstraZeneca,6/26/2021,7358172
ARG,Sinopharm/Beijing,6/26/2021,4089333
ARG,Sputnik V,6/26/2021,9114637
